Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;110325;"Annual Review of Ecology, Evolution, and Systematics";book series;"1543592X";7,849;Q1;216;25;74;3565;1238;74;13,17;142,60;United States;Northern America;"Annual Reviews Inc.";"2003-2019";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
2;18567;"Fungal Diversity";journal;"15602745, 18789129";7,743;Q1;94;24;65;6920;1153;64;18,39;288,33;Netherlands;Western Europe;"Springer Netherlands";"1998-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
3;21100831440;"Nature Ecology and Evolution";journal;"2397334X";5,822;Q1;57;273;943;11720;8497;679;8,48;42,93;United States;Northern America;"Nature Publishing Group";"2016-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
4;36483;"Global Environmental Change";journal;"09593780, 18729495";4,659;Q1;177;131;354;10718;4649;351;9,35;81,82;United Kingdom;Western Europe;"Elsevier Ltd.";"1990-2020";"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)"
5;21100873499;"Nature Sustainability";journal;"23989629";4,514;Q1;37;177;385;7330;3714;239;9,65;41,41;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2020";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)"
6;15131;"Global Change Biology";journal;"13652486, 13541013";4,146;Q1;255;536;1295;44520;12601;1226;9,61;83,06;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1995-2020";"Ecology (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
7;144675;"Frontiers in Ecology and the Environment";journal;"15409295, 15409309";3,918;Q1;164;123;355;2467;1919;189;4,30;20,06;United States;Northern America;"Wiley-Blackwell";"2003-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
8;22044;"Global Ecology and Biogeography";journal;"14668238, 1466822X";3,164;Q1;152;169;398;12490;2608;385;6,35;73,91;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Global and Planetary Change (Q1)"
9;19900191736;"Conservation Letters";journal;"1755263X";3,153;Q1;79;73;311;2938;2153;114;6,64;40,25;United States;Northern America;"John Wiley &amp; Sons Inc.";"2008, 2010-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
10;4000151810;"PLoS Computational Biology";journal;"15537358, 1553734X";2,628;Q1;182;767;1855;42757;10337;1789;4,71;55,75;United States;Northern America;"Public Library of Science";"2005-2020";"Cellular and Molecular Neuroscience (Q1); Computational Theory and Mathematics (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1)"
11;21100887409;"Life Science Alliance";journal;"25751077";2,570;Q1;14;144;232;8466;929;230;4,00;58,79;United States;Northern America;"Rockefeller University Press";"2018-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Ecology (Q1); Health, Toxicology and Mutagenesis (Q1); Plant Science (Q1)"
